,0,1992_NAs,1993_NAs,1994_NAs,1995_NAs,1996_NAs,1997_NAs,1998_NAs,1999_NAs,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs,2019_NAs
0,PRIMARY_KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1,STATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2,YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
3,ENROLL,53,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
4,TOTAL_REVENUE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
5,FEDERAL_REVENUE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
6,STATE_REVENUE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
7,LOCAL_REVENUE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
8,TOTAL_EXPENDITURE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
9,INSTRUCTION_EXPENDITURE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
10,SUPPORT_SERVICES_EXPENDITURE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
11,OTHER_EXPENDITURE,53,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
12,CAPITAL_OUTLAY_EXPENDITURE,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
13,A_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
14,G01_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
15,G02_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
16,G03_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
17,G04_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
18,G05_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
19,G06_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
20,G07_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
21,G08_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
22,G09_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
23,G10_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
24,G11_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
25,G12_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
26,KG_A_A,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
27,PK_A_A,3,1,3,1,3,1,3,1,3,1,2,2,0,2,0,2,0,2,0,2,0,2,0,4,1,2,0.0,53
28,G01-G08_A_A,53,51,53,51,53,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0.0,53
29,G09-G12_A_A,53,51,53,51,53,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,53
30,G01_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0.0,53
31,G01_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
32,G01_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
33,G01_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
34,G01_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
35,G01_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
36,G01_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0.0,53
37,G01_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
38,G01_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,40,1,2,1,4,1,3,0,53,0.0,53
39,G01_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,41,2,2,0,3,1,4,0,53,0.0,53
40,G01_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
41,G01_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
42,G01_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
43,G01_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
44,G02_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,3,0,3,0,2,0,2,0,53,0.0,53
45,G02_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0.0,53
46,G02_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
47,G02_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
48,G02_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
49,G02_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
50,G02_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
51,G02_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
52,G02_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,2,2,1,3,2,3,0,53,0.0,53
53,G02_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,1,3,0,4,1,3,1,53,0.0,53
54,G02_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
55,G02_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
56,G02_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
57,G02_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
58,G03_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,1,2,0,2,0,53,0.0,53
59,G03_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,3,0,2,0,2,1,2,0,53,0.0,53
60,G03_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
61,G03_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
62,G03_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
63,G03_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
64,G03_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
65,G03_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
66,G03_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,2,2,1,4,1,4,0,53,0.0,53
67,G03_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,40,1,2,0,3,1,3,0,53,0.0,53
68,G03_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
69,G03_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
70,G03_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
71,G03_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
72,G04_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,3,0,2,0,2,0,53,0.0,53
73,G04_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,3,0,2,0,53,0.0,53
74,G04_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
75,G04_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
76,G04_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
77,G04_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
78,G04_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
79,G04_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
80,G04_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,41,1,2,0,3,2,3,0,53,0.0,53
81,G04_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,3,2,1,3,1,3,0,53,0.0,53
82,G04_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
83,G04_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
84,G04_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
85,G04_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
86,G05_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,1,2,0,2,0,53,0.0,53
87,G05_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,1,53,0.0,53
88,G05_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
89,G05_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
90,G05_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
91,G05_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
92,G05_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
93,G05_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
94,G05_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,41,1,2,0,3,1,5,0,53,0.0,53
95,G05_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,2,2,0,3,1,3,0,53,0.0,53
96,G05_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
97,G05_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
98,G05_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
99,G05_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
100,G06_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
101,G06_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,1,2,0,2,0,53,0.0,53
102,G06_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
103,G06_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
104,G06_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
105,G06_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
106,G06_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
107,G06_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
108,G06_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,40,2,2,0,3,1,3,1,53,0.0,53
109,G06_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,40,1,2,0,3,1,3,0,53,0.0,53
110,G06_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
111,G06_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
112,G06_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
113,G06_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
114,G07_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
115,G07_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0.0,53
116,G07_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
117,G07_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
118,G07_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
119,G07_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
120,G07_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
121,G07_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
122,G07_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,41,1,2,0,3,1,3,0,53,0.0,53
123,G07_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,40,3,2,1,3,1,3,0,53,0.0,53
124,G07_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
125,G07_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
126,G07_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
127,G07_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
128,G08_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,3,0,2,0,2,0,2,0,53,0.0,53
129,G08_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
130,G08_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
131,G08_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
132,G08_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
133,G08_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
134,G08_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
135,G08_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
136,G08_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,2,2,1,3,1,3,0,53,0.0,53
